Idade,Saiu_da_empresa,Viagens,Departamento,Distancia_de_casa,Educacao,Area_de_formacao,ID_funcionario,Genero,Nivel_posicao,Cargo,Estado_Civel,Renda_mensal,Num_empresas_trabalhou,Aumento_salarial_ultimo_ano_em_%,Nivel_opcao_acoes,Experiencia_anos,Qtd_treinamento_ultimo_ano,Anos_na_empresa,Anos_da_ultima_promocao,Anos_com_mesmo_Gerente
51,Nao,Raramente,Vendas,6,2,Ciencias da Vida,1,Feminino,1,Representante de Saude,Casado,131160,1,11,0,1,6,1,0,0
31,Sim,Frequente,Pesquisa e desenvolvimento,10,1,Ciencias da Vida,2,Feminino,1,Pesquisador,Solteiro,41890,0,23,1,6,3,5,1,4
32,Nao,Frequente,Pesquisa e desenvolvimento,17,4,Outras,3,Masculino,4,Executivo de vendas,Casado,193280,1,15,3,5,2,5,0,3
38,Nao,Nao,Pesquisa e desenvolvimento,2,5,Ciencias da Vida,4,Masculino,3,Recursos Humanos,Casado,83210,3,11,3,13,5,8,7,5
32,Nao,Raramente,Pesquisa e desenvolvimento,10,1,Medica,5,Masculino,1,Executivo de vendas,Solteiro,23420,4,12,2,9,2,6,0,4
46,Nao,Raramente,Pesquisa e desenvolvimento,8,3,Ciencias da Vida,6,Feminino,4,Diretor de pesquisa,Casado,40710,3,13,0,28,5,7,7,7
28,Sim,Raramente,Pesquisa e desenvolvimento,11,2,Medica,7,Masculino,2,Executivo de vendas,Solteiro,58130,2,20,1,5,2,0,0,0
29,Nao,Raramente,Pesquisa e desenvolvimento,18,3,Ciencias da Vida,8,Masculino,2,Executivo de vendas,Casado,31430,2,22,3,10,2,0,0,0
31,Nao,Raramente,Pesquisa e desenvolvimento,1,3,Ciencias da Vida,9,Masculino,3,Tecnico de Laboratorio,Casado,20440,0,21,0,10,2,9,7,8
25,Nao,Nao,Pesquisa e desenvolvimento,7,4,Medica,10,Feminino,4,Tecnico de Laboratorio,Divorciado,134640,1,13,1,6,2,6,1,5
45,Nao,Raramente,Pesquisa e desenvolvimento,17,2,Medica,11,Masculino,2,Tecnico de Laboratorio,Casado,79910,0,13,2,21,2,20,4,10
36,Nao,Raramente,Pesquisa e desenvolvimento,28,1,Ciencias da Vida,12,Masculino,1,Tecnico de Laboratorio,Casado,33770,0,12,2,16,2,15,10,11
55,Nao,Raramente,Pesquisa e desenvolvimento,14,4,Ciencias da Vida,13,Feminino,1,Executivo de vendas,Solteiro,55380,0,17,0,37,2,36,4,13
47,Sim,Nao,Pesquisa e desenvolvimento,1,1,Medica,14,Masculino,1,Pesquisador,Casado,57620,1,11,2,10,4,10,9,9
28,Nao,Raramente,Pesquisa e desenvolvimento,1,3,Ciencias da Vida,15,Masculino,1,Diretor de Manufatura,Casado,25920,1,14,0,5,2,5,0,4
37,Nao,Raramente,Pesquisa e desenvolvimento,1,3,Ciencias da Vida,16,Masculino,2,Representante de Saude,Casado,53460,4,11,0,7,2,5,0,1
21,Nao,Raramente,Pesquisa e desenvolvimento,3,2,Ciencias da Vida,17,Masculino,1,Tecnico de Laboratorio,Solteiro,42130,1,12,3,3,3,3,1,0
37,Nao,Nao,Pesquisa e desenvolvimento,1,3,Medica,18,Masculino,2,Executivo de vendas,Divorciado,41270,2,13,1,15,2,5,0,2
35,Nao,Raramente,Vendas,7,4,Ciencias da Vida,19,Masculino,1,Representante de Vendas,Divorciado,24380,7,16,0,10,5,7,6,2
38,Nao,Raramente,Pesquisa e desenvolvimento,8,3,Ciencias da Vida,20,Feminino,1,Gerente,Divorciado,68700,1,11,1,8,5,8,7,7
26,Nao,Frequente,Pesquisa e desenvolvimento,1,4,Outras,21,Masculino,2,Tecnico de Laboratorio,Divorciado,104470,1,18,0,6,3,6,1,4
50,Nao,Raramente,Vendas,8,4,Ciencias da Vida,22,Masculino,1,Pesquisador,Divorciado,96670,3,23,0,28,2,10,1,6
53,Nao,Raramente,Pesquisa e desenvolvimento,11,4,Ciencias da Vida,23,Feminino,2,Pesquisador,Casado,21480,3,11,0,21,2,5,1,3
42,Nao,Raramente,Pesquisa e desenvolvimento,4,4,Ciencias da Vida,24,Masculino,1,Diretor de Manufatura,Casado,89260,1,14,0,NA,4,20,11,6
29,Nao,Frequente,Pesquisa e desenvolvimento,16,4,Medica,25,Masculino,1,Tecnico de Laboratorio,Solteiro,65130,1,11,1,10,2,10,0,9
55,Nao,Raramente,Pesquisa e desenvolvimento,1,4,Outras,26,Feminino,1,Pesquisador,Casado,67990,3,11,0,12,2,10,0,8
26,Nao,Frequente,Pesquisa e desenvolvimento,9,3,Ciencias da Vida,27,Feminino,1,Gerente,Casado,162910,1,22,0,5,3,5,3,3
37,Nao,Raramente,Vendas,5,1,Marketing,28,Masculino,1,Pesquisador,Solteiro,27050,1,11,0,17,2,17,5,7
44,Sim,Frequente,Pesquisa e desenvolvimento,1,2,Medica,29,Masculino,2,Pesquisador,Divorciado,103330,3,14,1,19,2,1,0,0
38,Nao,Raramente,Vendas,2,3,Marketing,30,Feminino,1,Gerente,Divorciado,44480,9,12,0,10,3,2,1,2
26,Sim,Raramente,Pesquisa e desenvolvimento,4,3,Medica,31,Masculino,3,Pesquisador,Divorciado,68540,2,11,0,5,5,3,0,2
28,Nao,Raramente,Pesquisa e desenvolvimento,7,3,Outras,32,Masculino,1,Recursos Humanos,Solteiro,96370,1,13,0,5,6,5,0,2
49,Nao,Frequente,Pesquisa e desenvolvimento,1,1,Medica,33,Feminino,2,Pesquisador,Solteiro,35910,9,13,0,22,2,3,1,2
36,Nao,Raramente,Vendas,5,3,Formacao Tecnica,34,Masculino,3,Executivo de vendas,Solteiro,54050,4,14,0,10,2,8,7,7
31,Nao,Frequente,Pesquisa e desenvolvimento,9,4,Medica,35,Masculino,1,Executivo de vendas,Divorciado,46840,1,16,1,2,4,2,2,2
26,Sim,Raramente,Pesquisa e desenvolvimento,8,3,Medica,36,Masculino,2,Gerente,Solteiro,157870,1,12,2,8,5,8,7,4
37,Nao,Frequente,Vendas,9,1,Marketing,37,Masculino,1,Tecnico de Laboratorio,Casado,15140,1,14,0,4,3,4,1,2
42,Nao,Frequente,Vendas,2,2,Marketing,38,Masculino,3,Diretor de pesquisa,Casado,29560,5,13,0,23,2,20,4,8
18,Sim,Raramente,Pesquisa e desenvolvimento,1,4,Ciencias da Vida,39,Masculino,1,Executivo de vendas,Solteiro,23350,1,14,2,0,3,0,0,0
35,Nao,Raramente,Vendas,20,2,Ciencias da Vida,40,Masculino,1,Tecnico de Laboratorio,Casado,51540,0,19,0,12,2,11,6,9
36,Nao,Frequente,Pesquisa e desenvolvimento,8,3,Outras,41,Feminino,3,Executivo de vendas,Casado,69620,4,12,2,4,2,1,0,0
51,Nao,Raramente,Pesquisa e desenvolvimento,2,3,Ciencias da Vida,42,Masculino,2,Tecnico de Laboratorio,Divorciado,56750,5,13,0,13,2,4,1,2
41,Nao,Raramente,Pesquisa e desenvolvimento,29,1,Ciencias da Vida,43,Masculino,1,Tecnico de Laboratorio,Solteiro,23790,1,12,0,22,6,22,0,4
18,Nao,Raramente,Vendas,7,3,Ciencias da Vida,44,Masculino,1,Pesquisador,Solteiro,38120,1,15,0,0,3,0,0,0
28,Nao,Raramente,Pesquisa e desenvolvimento,9,3,Medica,45,Masculino,1,Representante de Vendas,Solteiro,46480,0,23,2,9,2,8,0,7
31,Nao,Raramente,Pesquisa e desenvolvimento,8,1,Formacao Tecnica,46,Masculino,1,Diretor de Manufatura,Casado,29360,4,12,1,10,2,8,7,7
39,Nao,Raramente,Vendas,5,4,Marketing,47,Feminino,2,Recursos Humanos,Divorciado,21050,0,20,0,19,3,18,3,7
36,Nao,Nao,Pesquisa e desenvolvimento,5,4,Ciencias da Vida,48,Masculino,1,Executivo de vendas,Casado,85780,7,21,0,11,4,9,0,8
32,Nao,Raramente,Vendas,2,3,Marketing,49,Masculino,2,Tecnico de Laboratorio,Casado,27060,1,21,1,13,4,13,4,8
38,Nao,Raramente,Pesquisa e desenvolvimento,5,2,Ciencias da Vida,50,Feminino,3,Pesquisador,Casado,63840,3,19,2,19,4,10,0,1
58,Nao,Nao,Pesquisa e desenvolvimento,2,3,Ciencias da Vida,51,Masculino,2,Diretor de Manufatura,Divorciado,39680,2,13,2,12,3,5,1,2
